标题:整租，中国铁建国际城  套四双卫	 价格:1800元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室1厅2卫	 面积:87㎡	 朝向:朝南	 楼层:中楼层/34层
标题:  神仙树大院标准套一，刚做保洁，安静不吵价格可谈	 价格:2800元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:1室1厅1卫	 面积:60㎡	 朝向:朝南	 楼层:中楼层/18层
标题:整租 · SOHO沸城 1居室 2200	 价格:2200元/月 (季付价)	 标签:近地铁 随时看房 	 租法:整租	 户型:1室0厅1卫	 面积:35㎡	 朝向:朝西南	 楼层:中楼层/12层
标题:合租 · 锦江帆影 6室1厅	 价格:1300元/月 (季付价)	 标签:公寓 独立卫生间 随时看房 	 租法:合租	 户型:6室1厅2卫	 面积:16㎡	 朝向:朝东南	 楼层:12/32层
标题:合租 · 澳龙名城 4室1厅	 价格:1530元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:14㎡	 朝向:朝西	 楼层:33/33层
标题:  青羊贝森 电梯套三双卫 四个空调 家电家具齐全 采光好	 价格:2900元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室2厅1卫	 面积:88㎡	 朝向:朝东	 楼层:中楼层/11层
标题:  华宇蓉国府套三双卫 带家具家电出租 看房请提前联系	 价格:6000元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室2厅2卫	 面积:114㎡	 朝向:朝东	 楼层:中楼层/33层
标题:合租 · 城南晶座 4室1厅	 价格:1230元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:13㎡	 朝向:朝南	 楼层:7/37层
标题:  华悦府精装套三，俯瞰公园，看房方便	 价格:33000元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室2厅3卫	 面积:287㎡	 朝向:朝南	 楼层:中楼层/46层
标题:  小南街西府少城 套二 安静不临街 采光好	 价格:3400元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅1卫	 面积:75㎡	 朝向:朝南	 楼层:高楼层/33层
标题:整租 · 王府花园 1居室 1900	 价格:1900元/月 (季付价)	 标签:近地铁 随时看房 	 租法:整租	 户型:1室0厅1卫	 面积:41㎡	 朝向:朝南	 楼层:中楼层/11层
标题:合租 · 南城都汇汇彩园 4室1厅	 价格:1660元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:13㎡	 朝向:朝北	 楼层:19/22层
标题:  青羊贝森 贝森宜苑 优质套三 交通方便	 价格:2400元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室1厅1卫	 面积:113㎡	 朝向:朝南	 楼层:中楼层/8层
标题:整租 ·   乐天优质好房子，干净清爽，采光视野好，近地铁	 价格:3300元/月 (季付价)	 标签:近地铁 精装 随时看房 	 租法:整租	 户型:2室1厅1卫	 面积:76㎡	 朝向:朝南 北	 楼层:中楼层/33层
标题:合租 · 南城都汇汇彩园 4室1厅	 价格:1660元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:13㎡	 朝向:朝北	 楼层:8/22层
标题:  合江亭 春熙路 星河名都 住家大套二 大阳台 	 价格:3600元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅2卫	 面积:104㎡	 朝向:朝南	 楼层:高楼层/12层
标题:  观城公寓，进出方便，随时可以看房	 价格:2500元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:1室1厅1卫	 面积:50㎡	 朝向:朝西南	 楼层:中楼层/33层
标题:整租 · 汇厦少城文墨阁 2居室 3200	 价格:3200元/月 (季付价)	 标签:新上 随时看房 	 租法:整租	 户型:2室1厅1卫	 面积:65㎡	 朝向:朝南	 楼层:中楼层/33层
标题:合租 · 首航欣程 6室1厅	 价格:1050元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 随时看房 	 租法:合租	 户型:6室1厅4卫	 面积:12㎡	 朝向:朝西北	 楼层:32/32层
标题:合租 · 融创观玺台花园 4室1厅	 价格:1290元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:15㎡	 朝向:朝西	 楼层:9/24层
标题:川大川音九眼桥一环路电梯套一出租	 价格:2500元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:1室1厅1卫	 面积:56㎡	 朝向:朝西南	 楼层:低楼层/32层
标题:  南阳盛世 装修套二 提前预约 方便看房	 价格:2000元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅1卫	 面积:80㎡	 朝向:朝南	 楼层:中楼层/31层
标题:合租 · 合能珍宝金楠 4室1厅	 价格:1330元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:12㎡	 朝向:朝南	 楼层:19/20层
标题:九里堤中路52号院 2室1厅 1800元	 价格:1800元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅1卫	 面积:70㎡	 朝向:朝东南	 楼层:高楼层/7层
标题:  和泓东28精装套二出租，家电齐全，地铁口。	 价格:2100元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅1卫	 面积:58㎡	 朝向:朝西北	 楼层:高楼层/34层
标题:整租 · 华润二十四城五期 1居室 2700	 价格:2700元/月 (季付价)	 标签:近地铁 精装 新上 随时看房 	 租法:整租	 户型:1室1厅1卫	 面积:50㎡	 朝向:朝南	 楼层:中楼层/17层
标题:合租 · 英郡一期 5室1厅	 价格:1200元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 随时看房 	 租法:合租	 户型:5室1厅2卫	 面积:15㎡	 朝向:朝东南	 楼层:7/32层
标题:合租 · 锐力领峰 4室1厅	 价格:1460元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:13㎡	 朝向:朝东	 楼层:16/33层
标题:  中大君悦金沙套二出租，欢迎咨询	 价格:3300元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:2室1厅1卫	 面积:83㎡	 朝向:朝东南	 楼层:高楼层/23层
标题:  2.5环水木光华小区 温馨烧电跃层 跃层	 价格:2200元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:1室1厅2卫	 面积:38㎡	 朝向:朝西	 楼层:高楼层/11层
标题:合租 · 锦东庭园 4室1厅	 价格:1490元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:13㎡	 朝向:朝东	 楼层:28/34层
标题:  珠江国际花园，精装修套三，居家住最合适！	 价格:2300元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室1厅2卫	 面积:121㎡	 朝向:朝南	 楼层:中楼层/32层
标题:交大智能二期 3室1厅 2500元	 价格:2500元/月	 标签:近地铁 随时看房 	 租法:租赁方式未知	 户型:3室1厅1卫	 面积:98㎡	 朝向:朝东南	 楼层:中楼层/7层
标题:整租 · 丽景华庭二期 1居室 1700	 价格:1700元/月 (季付价)	 标签:近地铁 随时看房 	 租法:整租	 户型:1室0厅1卫	 面积:43㎡	 朝向:朝南	 楼层:中楼层/16层
标题:整租 · 南城都汇汇彩园 2室2厅	 价格:3800元/月 (季付价)	 标签:公寓 近地铁 新上 随时看房 	 租法:整租	 户型:2室2厅1卫	 面积:103㎡	 朝向:朝东南	 楼层:10/22层
标题:合租 · 西岸观邸 4室1厅	 价格:1360元/月 (季付价)	 标签:公寓 独立卫生间 近地铁 押一付一 随时看房 	 租法:合租	 户型:4室1厅2卫	 面积:12㎡	 朝向:朝东	 楼层:31/32层
